"We embarked on an adventurous quest , spotting wild animals in their natural habitat.",1
*****************************************,
The new movie [MASK] has generated a lot of buzz and anticipation among fans.,
LLM,
The new movie trailer has generated a lot of buzz and anticipation among fans.,1
The new movie release has generated a lot of buzz and anticipation among fans.,1
The new movie premiere has generated a lot of buzz and anticipation among fans.,1
The new movie teaser has generated a lot of buzz and anticipation among fans.,1
The new movie sequel has generated a lot of buzz and anticipation among fans.,1
BERT,
The new movie trailer has generated a lot of buzz and anticipation among fans.,1
The new movie release has generated a lot of buzz and anticipation among fans.,1
The new movie series has generated a lot of buzz and anticipation among fans.,1
The new movie adaptation has generated a lot of buzz and anticipation among fans.,1
The new movie script has generated a lot of buzz and anticipation among fans.,1
*****************************************,
,
42/50=84%,
