这场音乐会是一次令人着迷的经历，才华横溢的艺术家们进行了令人难以割舍的表演。,"This concert was a fascinating experience, with talented artists performing an show that can not forget.",0
这场音乐会是一次令人着迷的经历，才华横溢的艺术家们进行了令人难以削弱的表演。,"This concert was a fascinating experience, with talented artists performing an indelible performance.",0
,,
我们开始了一次冒险旅行，在野生动物的自然栖息地发现它们。,We started an adventure trip and discovered wild animals in their natural habitats.,1
我们开始了一次冒险旅行，在野生动物的自然景观中发现它们。,We embarked on an adventure trip and discovered wild animals in their natural landscapes.,1
我们开始了一次冒险旅行，在野生动物的自然领地发现它们。,We embarked on an adventure trip and discovered wild animals in their natural territories.,1
我们开始了一次冒险旅行，在野生动物的自然栖居地发现它们。,We embarked on an adventure trip and discovered wild animals in their natural habitats.,1
我们开始了一次冒险旅行，在野生动物的自然栖身地发现它们。,We embarked on an adventure trip and discovered wild animals in their natural habitats.,1
,,
这部新电影的上映引起了影迷们的热烈反响和期待。,The release of this new movie has aroused enthusiastic reactions and expectations from fans.,1
这部新电影的上映引起了影迷们的积极反响和期待。,The release of this new movie has aroused positive reactions and expectations from fans.,1
这部新电影的上映引起了影迷们的狂热反响和期待。,The release of this new movie sparked a frenzy and anticipation among these fans.,0
这部新电影的上映引起了影迷们的兴奋反响和期待。,The new movie has aroused excitement and anticipation among fans.,0
这部新电影的上映引起了影迷们的热情反响和期待。,The release of this new movie has aroused enthusiastic reactions and expectations from fans.,1
